"x","y","z","output"
5,3.33333333333333,-3.33333333333333,-194.994954623858
-5,5,-3.33333333333333,-184.593701077726
-3.33333333333333,5,-3.33333333333333,-156.845415673259
-1.66666666666667,5,-3.33333333333333,-187.811727865553
0,5,-3.33333333333333,-249.842814013333
1.66666666666667,5,-3.33333333333333,-228.850170168175
3.33333333333333,5,-3.33333333333333,-219.312682429326
5,5,-3.33333333333333,-214.627709330931
-5,-5,-1.66666666666667,-297.874843382837
-3.33333333333333,-5,-1.66666666666667,-237.680680305934
-1.66666666666667,-5,-1.66666666666667,-277.807343050298
0,-5,-1.66666666666667,-211.578283704574
1.66666666666667,-5,-1.66666666666667,-236.895449272516
3.33333333333333,-5,-1.66666666666667,-149.654163184808
5,-5,-1.66666666666667,-190.645411294894
-5,-3.33333333333333,-1.66666666666667,-200.110767307131
-3.33333333333333,-3.33333333333333,-1.66666666666667,-195.381505191955
-1.66666666666667,-3.33333333333333,-1.66666666666667,-254.381924941056
0,-3.33333333333333,-1.66666666666667,-207.907206975881
1.66666666666667,-3.33333333333333,-1.66666666666667,-112.420392972617
3.33333333333333,-3.33333333333333,-1.66666666666667,-273.533069373554
5,-3.33333333333333,-1.66666666666667,-261.627821141676
-5,-1.66666666666667,-1.66666666666667,-158.455706752811
-3.33333333333333,-1.66666666666667,-1.66666666666667,-276.834351240908
-1.66666666666667,-1.66666666666667,-1.66666666666667,-156.28257225485
0,-1.66666666666667,-1.66666666666667,-238.590082310536
1.66666666666667,-1.66666666666667,-1.66666666666667,-222.546567034248
3.33333333333333,-1.66666666666667,-1.66666666666667,-218.741178339843
5,-1.66666666666667,-1.66666666666667,75.8372434511437
-5,0,-1.66666666666667,-215.679233605838
-3.33333333333333,0,-1.66666666666667,-222.214121327251
-1.66666666666667,0,-1.66666666666667,-186.439387705183
0,0,-1.66666666666667,-247.226841849223
1.66666666666667,0,-1.66666666666667,-219.417822324609
3.33333333333333,0,-1.66666666666667,29.7002965548272
5,0,-1.66666666666667,-275.591338294109
-5,1.66666666666667,-1.66666666666667,-270.522449313176
-3.33333333333333,1.66666666666667,-1.66666666666667,-137.46337441783
-1.66666666666667,1.66666666666667,-1.66666666666667,-198.943635715803
0,1.66666666666667,-1.66666666666667,-249.35582518622
1.66666666666667,1.66666666666667,-1.66666666666667,-114.910009300607
3.33333333333333,1.66666666666667,-1.66666666666667,-258.580045191305
5,1.66666666666667,-1.66666666666667,-194.465988084412
-5,3.33333333333333,-1.66666666666667,-223.128484406218
-3.33333333333333,3.33333333333333,-1.66666666666667,-215.274777473666
-1.66666666666667,3.33333333333333,-1.66666666666667,-289.125637948363
0,3.33333333333333,-1.66666666666667,-113.682969480031
1.66666666666667,3.33333333333333,-1.66666666666667,-270.64216736107
3.33333333333333,3.33333333333333,-1.66666666666667,-246.82602460213
5,3.33333333333333,-1.66666666666667,-223.851125919641
-5,5,-1.66666666666667,-243.671226662628
-3.33333333333333,5,-1.66666666666667,-227.83807647743
-1.66666666666667,5,-1.66666666666667,-77.5378512824225
0,5,-1.66666666666667,-280.269391651464
1.66666666666667,5,-1.66666666666667,-221.695836690582
3.33333333333333,5,-1.66666666666667,-277.848253511769
5,5,-1.66666666666667,-114.174501580574
-5,-5,0,-279.736857505673
-3.33333333333333,-5,0,-214.338681921587
-1.66666666666667,-5,0,-252.560558394851
0,-5,0,-258.63190043423
1.66666666666667,-5,0,-171.077003893377
